id,producto_id,anio,precio_unitario,subtotal,proveedor,created_at,updated_at
195,195,2025,697.99,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
196,196,2025,696.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
197,197,2025,696.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
198,198,2025,696.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
199,199,2025,694.06,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
200,200,2025,706.05,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
201,201,2025,706.05,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
202,202,2025,799.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
203,203,2025,919.07,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
204,204,2025,919.07,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
205,205,2025,958.65,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
206,206,2025,958.65,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
207,207,2025,959.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
208,208,2025,959.83,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
209,209,2025,915.31,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
210,210,2025,915.31,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
211,211,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
212,212,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
213,213,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
214,214,2025,944.38,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
215,215,2025,966.89,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
216,216,2025,918.10,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
217,217,2025,2275.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
218,218,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
219,219,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
220,220,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
221,221,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
222,222,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
223,223,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
224,224,2025,693.15,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
225,225,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
226,226,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
227,227,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
228,228,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
229,229,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
230,230,2025,693.16,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
231,231,2025,462.42,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
232,232,2025,462.42,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
233,233,2025,1004.99,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
234,234,2025,1004.99,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
235,235,2025,1050.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
236,236,2025,1050.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
237,237,2025,1050.37,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
238,238,2025,560.90,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
239,239,2025,560.90,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
240,240,2025,552.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
241,241,2025,552.47,,,"2026-03-31 11:49:44","2026-03-31 11:49:44"
